Player,Team,Jersey,Nation,Main_Position,Positions,Age,Minutes,Goals,Assists,Penalty_Shoot_on_Goal,Penalty_Shoot,Total_Shoot,Shoot_on_Target,Yellow_Cards,Red_Cards,Touches,Dribbles,Tackles,Blocks,Expected_Goals_xG,Non_Penalty_xG_npxG,Expected_Assists_xAG,Shot_Creating_Actions,Goal_Creating_Actions,Passes_Completed,Passes_Attempted,Pass_Completion,Progressive_Passes,Carries,Progressive_Carries,Dribble_Attempts,Successful_Dribbles
Bruno Fernandes,Manchester United,8,POR,FW,"FW,AM",29,90,0,0,0,0,6,3,0,0,70,2,0,0,1.2,1.2,0,2,0,43,60,71,6,50,7,1,1
Marcus Rashford,Manchester United,10,ENG,LW,LW,26,90,0,0,0,0,0,0,0,0,43,0,1,1,0,0,0.7,1,0,22,30,73,2,34,2,6,0
Amad Diallo,Manchester United,16,CIV,RW,RW,22,60,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0.1,1,0,28,33,84,1,22,0,1,1
Alejandro Garnacho,Manchester United,17,ARG,RW,RW,20,30,0,1,0,0,2,0,0,0,19,1,0,0,0.7,0.7,0.2,3,1,10,11,90,0,11,2,2,0
Mason Mount,Manchester United,7,ENG,AM,AM,25,60,0,0,0,0,1,1,1,0,23,3,0,0,0.3,0.3,0.1,3,0,11,15,73,1,16,0,2,0
Joshua Zirkzee,Manchester United,11,NED,FW,FW,23,30,1,0,0,0,1,1,0,0,12,0,0,1,0.1,0.1,0,1,0,8,9,88,1,6,0,0,0
Kobbie Mainoo,Manchester United,37,ENG,DM,DM,19,83,0,0,0,0,1,0,0,0,55,3,5,0,0,0,0,1,0,37,41,90,5,39,0,5,4
Scott McTominay,Manchester United,39,SCO,DM,DM,27,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,100,0,3,0,0,0
Casemiro,Manchester United,18,BRA,DM,DM,32,90,0,0,0,0,3,0,0,0,77,4,1,5,0.2,0.2,1,5,1,44,57,77,4,46,0,1,0
Diogo Dalot,Manchester United,20,POR,LB,"LB,RB",25,90,0,0,0,0,0,0,0,0,67,2,1,1,0,0,0,1,0,49,60,81,3,40,1,1,1
Lisandro Martínez,Manchester United,6,ARG,CB,"CB,LB",26,90,0,0,0,0,0,0,0,0,70,3,3,0,0,0,0,3,0,55,62,88,9,51,1,0,0
Harry Maguire,Manchester United,5,ENG,CB,CB,31,80,0,0,0,0,0,0,1,0,68,0,3,1,0,0,0,2,0,50,60,83,8,40,1,2,1
Jonny Evans,Manchester United,35,NIR,CB,CB,36,10,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,4,6,66,0,2,0,0,0
Noussair Mazraoui,Manchester United,3,MAR,RB,RB,26,80,0,0,0,0,0,0,0,0,54,2,3,1,0,0,0,0,0,41,45,91,3,34,1,0,0
Matthijs de Ligt,Manchester United,4,NED,CB,CB,25,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,100,0,2,0,0,0
André Onana,Manchester United,24,CMR,GK,GK,28,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,22,29,75,0,24,0,0,0
Rodrigo Muniz,Fulham,9,BRA,FW,FW,23,77,0,0,0,0,2,1,0,0,17,0,1,0,0.1,0.1,0.1,2,0,5,6,83,1,11,0,1,1
Raúl Jiménez,Fulham,7,MEX,FW,FW,33,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,50,0,2,1,0,0
Alex Iwobi,Fulham,17,NGA,LW,LW,28,90,0,0,0,0,1,0,0,0,42,4,0,0,0,0,0,0,0,19,29,65,2,31,1,5,1
Adama Traoré,Fulham,11,ESP,RW,RW,28,77,0,0,0,0,3,0,0,0,36,1,0,1,0.1,0.1,0,4,0,14,21,66,0,25,5,9,4
Harry Wilson,Fulham,8,WAL,RW,RW,27,13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,6,83,0,6,1,0,0
Emile Smith Rowe,Fulham,32,ENG,AM,AM,24,63,0,0,0,0,0,0,0,0,35,1,2,1,0,0,0,0,0,20,27,74,1,23,0,0,0
Tom Cairney,Fulham,10,SCO,DM,"DM,AM",33,27,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,1,0,15,17,88,4,14,2,3,2
Saša Lukić,Fulham,20,SRB,DM,DM,28,89,0,0,0,0,0,0,0,0,53,3,1,1,0,0,0,0,0,40,45,88,4,30,1,0,0
Jay Stansfield,Fulham,28,ENG,AM,"AM,DM",21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Andreas Pereira,Fulham,18,BRA,DM,"DM,AM",28,89,0,0,0,0,0,0,1,0,59,0,0,1,0,0,0.3,9,0,37,55,67,5,28,1,2,0
Harrison Reed,Fulham,6,ENG,DM,DM,29,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
Antonee Robinson,Fulham,33,USA,LB,LB,27,90,0,0,0,0,0,0,0,0,59,8,2,0,0,0,0,0,0,32,42,76,2,31,2,2,0
Calvin Bassey,Fulham,3,NGA,CB,CB,24,90,0,0,0,0,2,0,1,0,72,1,0,2,0.1,0.1,0,1,0,57,62,91,5,51,1,0,0
Issa Diop,Fulham,31,FRA,CB,CB,27,90,0,0,0,0,0,0,0,0,45,4,0,1,0,0,0,0,0,28,35,80,2,26,0,0,0
Kenny Tete,Fulham,2,NED,RB,RB,28,90,0,0,0,0,2,1,0,0,44,1,3,2,0.1,0.1,0,2,0,24,32,75,2,22,2,0,0
